title,author,abstract,discipline,date_of_publication
"Patterns of Sexual Assault Victims Presenting to the University Teaching Hospital in Lusaka, Zambia: A Cross-Sectional Study",Eugine Kaunda; Yusuf Ahmed; Bellington Vwalika,"Sexual assault, which encompasses defilement and rape, is a public health and public safety problem with the majority of victims being women and children. The consequences of sexual assault include physical injuries, psychological trauma, depression, suicide or suicidal attempt and post-traumatic stress disorder (PTSD) as a long-term consequence. Others are unwanted pregnancies and risk of acquiring sexually transmitted infections including the Human Immunodeficiency Virus (HIV). There is little information about the conditions under which sexual assault occurs. The aim of this study was to determine the patterns of sexual assault victims presenting to the University Teaching Hospital (UTH). 
This was a cross sectional study that was carried out on sexual assault victims who presented to UTH over a period of four months from December 2013 to April 2014. A total of 160 participants were recruited, 59 from the Gynaecology admission ward (C03) and 101 from Paediatric Centre of Excellence Child Sexual Assault (PCOE-CSA). Participants were interviewed using an interviewer-administered questionnaire while some data was extracted from victims’ files including documented HIV status. Frequency tables were constructed and characteristics of sexual assault compared between victims aged below 16 years and those aged 16 years and above. Data analysis was done using SPSS version 20. 
The age of 160 victims ranged from 2 to 34 years and the most affected age group was 11-15 years (n=91; 56.9%). Victims were mostly single (n=149; 93.1%), had attained primary education or none (n=102; 63.8%) were unemployed (n=149; 93.1%) and resided in high-density areas (n=144; 90%). Only 7.5% (n=12) of victims tested HIV positive. A positive HIV test occurred 14 times more frequently in victims aged 16 years and above (OR = 14.32, CI = 2.35 – 87.22, P-value < 0.01). Majority of the incidents took place in residential homes (n=110; 68.8%) and these were significantly less common among victims aged 16 years and above (OR = 0.33, CI = 0.11 – 0.98, P-value = 0.05). The majority of perpetrators were known to the victims (n= 119; 74.4%). Sexual assault perpetrated by strangers affected victims aged 16 years and above more than those aged below 16 years (50.0% versus 17.5%; P",Biomedical Sciences,3/31/2020
"Socio-economic Transformation Among Traditional Cattle Keepers in the Kafue Flood Plain in Namwala District, Zambia",Shepande Chaabila Kalapula; Gear Mumena Kajoba; Iwake Masialeti,"A study involving ninety-eighty traditional cattle keepers was conducted in Namwala's Baambwe and Maala areas with the objective of assessing changes in the value of cattle with respect to shifts in production goals, constraints, coping strategies and the introduction of markets, and government interventions in the promotion of livestock sector. The hypotheses were that different categories of cattle keepers within rural agro-pastoral communities are likely to respond differently to opportunities and constraints from cattle markets and that successful cattle keepers are likely to expand their production opportunities by ploughing capital obtained from proceeds of cattle sales while less successful ones withhold animals from the market unless there is an urgent need in order to realise a longer goal of stock accumulation. 
The results showed that financial security was ranked the first by 35.7 percent of the sample as the most important primary objective for keeping cattle. This is due to the changing economic environment resulting in an increase in the demand of money in the rural economy with available markets. In addition, following the establishment of commercial cattle buyers, the socio-economic situation among the traditional cattle keepers has changed from mere accumulation of cattle for prestige and social standing in society to entering into the market economy. Increased cattle marketing has encouraged transformation in production goals for keeping cattle to acquiring universally accepted and prestigious items such as solar panels, television sets, vehicles, dip tanks, houses, fencing, retail shops etc. However, livestock production remains below its potential due to the effect of recurrent cattle diseases and climatic variability in which government and other stakeholders have come on board to help sustain livestock production. 
It was concluded from the study that cattle keepers are rational economic actors whose production goals and strategies are determined not only by cultural and ideological considerations, but by constraints and opportunities imposed by the wider social, political and economic environment. Transformation has occurred, particularly among successful cattle keepers, accumulating both money and assets. They have responded positively to the introduced cattle markets by selling the surplus of their herds.",Agriculture Sciences,3/31/2014
"Effects of Intensive Phase Antituberculous Therapy on Hepatic and Haematological Parameters in Patients at the University Teaching Hospital in Lusaka, Zambia",Glorious Mwaba; Derick Munkombwe; Patrick Kaonga; Mwangana Mubita,"Zambia is a high tuberculosis burden country. Antituberculous medicines are the mainstay of tuberculosis management. There have been several reports of antituberculous drug-related haematological and hepatic adverse effects noted in other settings. Adverse events have healthcare cost and morbidity implications. Prevalence and severity of these adverse effects is understudied in patients at University Teaching Hospitals hence the purpose of this study was to identify haematological and hepatic abnormalities and compare parameters before treatment and after completion of intensive phase among the patients. Factors associated with abnormalities were also determined. A prospective longitudinal study was undertaken at Chest Clinic between April 2018 and July 2018. Study patients were followed up for 2 months. Full blood count and liver function tests were recorded at base-line and at follow-up. Abnormalities were defined according to 2017 Department of AIDS Table for Grading the Severity of Adult and Paediatric Adverse Events. Data were analysed using SPSS version 22.0 Paired t-test and Wilcoxon matched - pairs signed rank test were used to compare parameters. Logistic regression was performed to determine factors that were predictive of abnormalities. A p< 0.05 was considered statistically significant. 
A total of 37 patients were involved in the study. 56.8% of patients were male. Mean age of patients was 36.2 years (19 – 57 years) while body mass index was 21.9 kg/m2. Only 37.8% of patients were sputum smear positive at baseline. 56.8% of patients had HIV co-infection. 45.9% of patients were on antiretroviral therapy.45.2% of patients had grade 1-3 aspartate transaminase derangements at follow-up compared to 29.7% at baseline. 5.4% of the patients had grade 1-3 alanine transaminase derangements at baseline while 9.7% of patients had grade 1 at follow-up. Fewer patients (16.1%) had grade 1-2 anaemia at follow-up while 62.2% of patients at baseline had grade 1-4 anaemia. More patients (46.2%) had platelet derangements at follow-up compared to 25.8% at baseline. Fewer patients had differential white cell count derangements at follow-up compared to baseline. Statistically significant differences in haematological parameters: haemoglobin concentration, haematocrit, red, and white cell, eosinophil and neutrophil counts at baseline and follow-up were found. However, no statistical significant differences in red cell indices were observed. Changes in alanine transaminase levels at baseline and follow-up were statistically significant. Logistic regression was performed to determine the effects of age, gender, body mass index, HIV infection, antiretroviral therapy, sputum smear status, and appropriate baseline full blood count/liver function test parameters on the likelihood of study patients having deranged haemoglobin concentration, white cell count and alanine transaminase at follow-up. Logistic regression models to predict deranged haemoglobin concentration and white cell count were statistically insignificant. None of the predictor variables were associated with likelihood of derangements in alanine transaminase. 
Findings of this study show that haematological and hepatic adverse effects were relatively fewer at follow-up and were mostly grades 1-3 in severity. Antituberculous therapy is relatively safe for patients during the initial phase.",Biomedical Sciences,3/31/2020
Assessment of Caregivers’ Knowledge about Medications and Medical Conditions by Time of Discharge in the Paediatric Department at University Teaching Hospital of Zambia,Paul Bowa; Tyson L Mungo; Y’oniene Pierre Yassa,"Discharge is a period of transition from hospital to home that transfers responsibilities from the inpatient health care providers to patients and primary Caregivers. The study assessed Caregivers’ Knowledge about medications and medical conditions by the time their paediatric patients are discharged. 
A Cross-Sectional Study was carried out at University Teaching Hospital, paediatric department in Lusaka city of Zambia. A total of 369 caregivers were assessed on the level of knowledge about their discharged paediatric patients’ medical conditions and medications using data collected by a Pre-Tested Interview administered questionnaire. A knowledge index was developed, representing the number of correct answers. Chi-square test analysis was used to indicate the significance of the results. 
Most Caregivers were married (78.8%),Parents (82.2%), Unemployed(57.7%) with Primary level of Education (45.5%).The study found that 35.5% were very knowledgeable,27.6% had average knowledge, and 36.9 % were not knowledgeable about Medical conditions. 16.5% were very knowledgeable,35.5% were averagely knowledgeable, and 48.5 were not knowledgeable about Medications. The overall knowledge about Medical condition and Medications was poor, with only 11.9% very knowledgeable,35.5% average knowledgeable and 52.6% not knowledgeable. Study of Pearson Chi-square reviewed that there is a statistically significant association between Age(P=0.000), Gender(P=0.023), Duration of Hospital stay(0.000), of education (0.000), Occupation (0.000) and Relationship of Caregiver (0.002) to the level of knowledge. 
Generally, Caregivers were not knowledgeable about Medical conditions and Medications of their paediatric patients. However, the study findings indicated that Caregivers were more knowledgeable about medical conditions than medications. Female parent caregivers are more likely to be knowledgeable than male Caregivers. Similarly, those who stay longer in hospital, with a high level of education, and health workers are likely to be knowledgeable.",Biomedical Sciences,9/30/2020
Diagnostic Accuracy of Fine Needle Aspiration Cytology of Thyroid Nodules at Two Tertiary Hospitals in Zambia:  A Cross-Sectional Study,Jackson Chipaila; Alex Makupe; Evans Malyangu; Daniel Maswahu; Jane C Kabwe; Etienne BFK Odimba,"Introduction: Thyroid nodules are one of the common surgical presentations in Africa and are of great concern because  of  their  potential  to  be  malignant.  Zambia  is  not excluded from these common surgical conditions. However,  there  are  no  preoperative  cellular  or  intra-operative   tissue   diagnoses   of   the   thyroid   nodules   done  before  thyroidectomy  making  it  challenging  to  plan optimal and definitive management. Fine needle aspiration cytology (FNAC) is known to play a pivotal role in the screening and managing thyroid swellings. This study assesses the diagnostic accuracy of FNAC on thyroid nodules in patients at two tertiary hospitals in Zambia to establish a basis of introducing its use in the management of thyroid nodules at the institutions. Objectives: To  evaluate  the  accuracy  of  FNAC,  as compared to histopathology, in the diagnosis of thyroid nodules  at  University Teaching  Hospital  (UTH)  and Ndola Central Hospital (NCH) in Zambia. 
Methods: This was a prospective cross-sectional study conducted  in  UTH and NCH surgery  department  from June  2014  to  March  2015.  Seventy-three  patients,  who  presented  with  palpable  thyroid  nodules  and  underwent  thyroidectomy,  were  enrolled  in  the  study.  The FNAC diagnosis of the patients was compared to the histopathology finding following thyroidectomy. 
Results: Females made up the majority of the patients (n=67, 91.8%). The ages of the patients ranged from 18 to 78 years. The mean age was 44.3 years, and the peak age of incidence was in the fourth decade. All patients were  clinically  euthyroid  at  the  time  of  enrolment.  The  FNAC  findings  included  23  cases  reported  as unsatisfactory  (31.5%);  29  cases  benign  (39.7%); 2  cases  atypical  (2.7%);  6  cases  suspicious  (8.2%); and  13  cases  malignant  (17.8%).Histopathology findings were available from all 73 tissue samples of participants, of which 55 (75.3%) and 18 (24.7%) were reported  as  benign  and  malignant  respectively.  Of  the  18  malignant  cases  identified  by  histology,  the  most common cancer was follicular carcinoma (n=9, 50%), followed  by  papillary  carcinoma  (n=6,  33.3%)  and undifferentiated carcinoma (n=3, 16.7%). In this study, FNAC had sensitivity, specificity, negative and positive predictive  values,  and  accuracy  of  83.33%,  89.09%,  94.23 and 71.42%, and 87.67% respectively.
Conclusion: In this study, FNAC of thyroid nodules had  a  high  sensitivity,  specificity,  predictive  values and accuracy, and can therefore be recommended to be adopted as a preoperative tool for screening of thyroid nodules.",Biomedical Sciences,6/30/2020
"Prevalence and Outcome of Hypernatraemic Dehydration Among Under-5 Children with Diarrhoea at the University Teaching Hospital, Lusaka, Zambia.",Jombo Namushi; Evans Mpabalwani,"Diarrhoea  is  the  second  commonest  cause  of  under-five  mortality  globally  (second  to Pneumonia) and kills one (10 percent) out of every ten children who die before their fifth birthday. In Zambia dehydration due to diarrhoea is a leading cause of morbidity and mortality among  under-five  children.  Hypernatraemic  dehydration  is  the  most  dangerous  and  fatal form of dehydration. Despite the availability of well known effective treatment modalities for  dehydration  in  diarrhoea,  mortality  remains  high  in  many  developing  countries.  The  situation  is  not  any  different  in  Zambia  and  at  The  University  Teaching  Hospital  (UTH)  Department  of  Paediatrics.  Therefore,  this  study  sought  to  determine  the  prevalence  and  outcome of hypernatraemic dehydration as a possible contributing factor to the high mortality rate  among  children  with  diarrhoea.  It  was  a  cross-sectional  study  conducted  at  the  UTH  Department  of  Paediatrics. The  study  population  was  under-five  children  presenting  with acute  diarrhoea  with  dehydration.  Independent  variables  were  age,  sex,  feeding  modality,  prior ORS therapy, rotavirus vaccine status and serum sodium. The dependent or outcome variables were discharge/mortality and duration of hospital stay. Data analysis was done with the help of SPSS version 20.   There were a total of 148 participants with an almost 1:1 male/female  ratio  (73/75),  the  mean  age  of  14.7  months  ranging  1-60  months.  The  prevalence  of  hypernatraemic  dehydration  was  approximately  19  percent  (29/148)  among  children  presenting with diarrhoea and dehydration. Hypernatraemia was associated with a high risk of mortality (7/29) with an OR 5.8 (adjusted OR 3.6, 95% CI 2.9-8.0, p 0.002), compared to  (7/74)  OR  1.8  (adjusted  OR  1.1,  95%  CI  0.8-2.2,  p  0.06),  and  (5/33)  OR  3.1  (adjusted  OR  2.3,  95%  CI  1.7-4.4,  p  0.03)  for  normal  and  low  initial  sodium  level  respectively.  Hypernatraemia was also associated with longer hospital stay with a mean duration of 3.09 days (74.2hrs) compared to 2.01 days (48.2 hours) and 2.13 days (51.1 hours) for normal and low sodium respectively. Hypernatraemia is prevalent among under-five children presenting with  diarrhoea  at  UTH  department  of  paediatrics  and  a  major  contributing  factor  to  high  diarrhoeal  associated  mortality.  Recognition  of  its  occurrence  through  diligent  laboratory  services is therefore critical for appropriate patient care.",Biomedical Sciences,6/30/2020
"Are Fresh Stillbirths from Caesarean Sections Associated with Socioeconomic Status? A Case Control Study at the University Teaching Hospital in Lusaka, Zambia.",Kenneth Chanda; Aubrey Shanzi; Bellington Vwalika,"Introduction: Stillbirths occur worldwide at a rate of 3.2 million per year. There is however lack of interest in stillbirths especially those from caesarean sections. Discrepancy of high stillbirth rates from caesarean sections in low to middle income countries as compared to developed countries may indicate the influence of socioeconomic status. This study was designed to investigate if socioeconomic status is associated with caesarean section fresh stillbirths.
Methods: The study involved 330 women who underwent emergency caesarean sections from October, 2013 to August, 2014. Of these, 110 were cases and 220 were controls. Data collection was done using an interviewer administered questionnaire in the immediate postoperative period.
Results: Low socioeconomic status was associated with increased odds of caesarean section fresh stillbirths. The association was however not statistically significant.",Biomedical Sciences,6/30/2020
"Prevalence and Factors Associated With Renal Dysfunction in HIV Positive Paediatric Patients on Highly Active Antiretroviral Therapy at the Paediatric Centre of Excellence of the University Teaching Hospital, in Lusaka, Zambia",Mabvuto Kevin Zimba; James Chipeta; Chipepo Kankasa,"Background- Although sub-Saharan Africa has the largest number of children living with the Human Immunodeficiency Virus (HIV), little is known about the prevalence of HIV related kidney disease in these children despite the recognition of HIV infection as a strong risk factor for kidney disease. This study investigated the prevalence and factors associated with renal dysfunction in HIV positive paediatric patients on highly active antiretroviral therapy at the Paediatric Centre of Excellence (PCOE) of the University Teaching Hospital (UTH), Lusaka, Zambia.
Methodology- The study was a cross sectional survey conducted at the PCOE of the UTH in Lusaka, Zambia. Enrolment of all eligible participants was from April to September, 2014. The Inclusion criteria were patients aged 18 months to 16 years who consented or and assented to the study and were on HAART. Renal dysfunction was defined as at least abnormal renal laboratory values in at least 1 of 3 measures of proteinuria, serum creatinine or Estimated Glomerular Filtration Rate (eGFR) 60mL/min/1.73m2 for the age and height-adjusted value as defined by The Kidney Improving Global Outcomes (KDIGO) 2012 on two occasions. A file review and clinical evaluation was done by the study physician to determine the factors associated with renal dysfunction. Bloods were drawn for CD4 count, Haemoglobin (HB), Creatinine and Urine was taken for dipstick urinalysis.

Results- Of the 209 participants enrolled in this cross sectional study, 105(50.2%) were females. This study found a prevalence of 8.1% (CI=5.0-12.5), of renal dysfunction among paediatric HIV patients followed up at PCOE. Children aged 13 and above had on average 23 times greater odds for renal dysfunction [adjusted odds ratio (OR) = 23.76, and 95% confidence interval (CI) = (5.30 – 106.53), P-value",Biomedical Sciences,6/30/2020
"Factors Influencing Utilisation of Diagnostic Counselling and Testing for HIV among Tuberculosis Patients at Monze Mission Hospital, Zambia",Joyce Mulenga; Lonia Mwape; Patricia Mukwato,"Background
Tuberculosis (TB) and human immunodeficiency virus (HIV) constitute the main burden of infectious disease in resource-limited Countries6. Persons infected with HIV are particularly susceptible to tuberculosis, both from the reactivation of latent infection and from new infection with rapid progression to active disease8. An individual who is HIV-positive has 10 times increased risk of developing TB compared to an HIV-negative person the life time risk is 50% for an HIV-positive person and 5–10 percent for an HIV-negative9. Estimates by the World Health Organization (WHO) indicate that there are more than 9 million new active cases of TB and close to 2 million deaths per year and that 2.6 million new cases of HIV infection and 1.8 million AIDS-related deaths occur per year6. 
TB programmes have focused on TB case finding and treatment, with little attention to HIV/AIDS interventions. According toDavid, (2004) untreated HIV infection leads to increased susceptibility to infections including TB.  Currently, global estimates show that about 42 million people are HIV infected and almost one third are also infected with TB (WHO, 2005). The dual epidemics of TB and HIV are particularly pervasive in Africa, where HIV has been the single most common factor contributing to the incidence of TB over the last 10 years. TB and HIV are also a growing concern in Asia, where TB accounts for 40 percent of AIDS deaths (WHO, 2005).Therefore, HIV testing is particularly important in TB because mortality among HIV-infected TB patients is reduced if ART are provided (WHO, 2007). 
Main objective: To explore factors influencing utilization of Diagnostic Counselling and Testing for HIV among TB patients.

Design:.A hospital based cross-sectional study was carried out to assess the utilization of Diagnostic Testing and Counselling for Human Immune Virus/Acquired Immune Deficiency among tuberculosis patients. Zambia.

Research design: A non-experimental which is exploratory study design was used in this study.The study employed quantitative approachbecause little is known about DCT utilization.

Research setting: The study was undertaken at Monze Mission Hospital chest clinic as it was selected purposively because of the convenience and ease accessibility to the facilities.It was also chosen on the basis that it conducts TB programmes on a daily basis and records showed low utilization of DCT services for HIV among TB patients.
Study population:Men and women aged between 18 and 49 years will be included in the study as the above age group may give consent to DCT (MOH/NAC, 2006). The study will require 226 patients to participate.

Sample: The sample size was calculated using the Epi- info version 6.0 statistical. The sampling frame will comprise all TB patients visiting chest clinic at the time of the study and who meet the set criteria.The participants were selected using simple random sampling method. The sample size was calculated basing on Krejcie and Morgan's18 formula for calculating sample size of a finite population. The calculated sample size comprised 226 participants. 


Inclusion criteria: TB patients within Monze Hospital aged between 18 and 49 years. This group was appropriate because it is sexually active and at risk of contracting TB and HIV infection.Patients will include those who are not critically ill to avoid withdraw before the end of the study. In addition, patients who will consent to participate in the study will be enrolled in the study. 

 Exclusion criteria: TB patients outside Monze catchment referred to the chest clinic will not be included in the study because they may withdraw from the study due to distance. Patients aged less than 18 or more than 49 years who are referred to the ART sites for DCT will also not participate in the study. They may not consent to participate as they may think they are young or old to be at risk of contracting TB and HIV infection.  Patients who will not consent or volunteer to participate in the study will be freely left out.

Data collection tools and technique: Datawas collected using a questionnaire. A structured interview schedule was used to collect socio-demographic data, measured variables and entering results of all the participants under study. 

Pretest: The tool was pre-tested on TB patients at Chikuni Mission Hospital. This hospital was selected because it has similar characteristics as the actual research site. 

Validity and reliability: A semi-structured interview schedule was used to capture data on demographic characteristics and factors results. The interview schedule was developed based on the World Health Organization (WHO) stepwise survey (STEPS) instrument 22. The same instruments were used on all the patients to ensure reliability and validity. Statistical analyses were carried out using IBM® SPSS® Statistics for Windows Version 20.0 (IBM Corp. Armonk, NY, and USA). The frequencies and descriptive statistics of the variables were calculated. 

Ethical considerations: Ethical approval and permission was sought from ERESConverge Ethics Committee. 

Main outcome measures: Diagnostic Counselling and Testing utilization among tuberculosis was assessed to determine the level of uptake. An interview schedule was used to assess utilization and determine the relationships among the factors. 
Results:The level of knowledge and confidentiality were statistically associated with DCT.Overall (n=226), majority 150(66.3%) of the patients did not utilize diagnostic counselling and testing services while 76 (33.6%) utilized diagnostic counselling and testing. The odds ratio of confidentiality was OR 0.52-1.637 and P-value 0.050 while level of knowledge; OR was 0.719-45.785 and P-value was 0.048 and the variables were statistically significantly associated with Diagnostic Counselling and Testing. The study showed that the patients who did not utilize DCT had 47% decrease in the odds of achieving high level of knowledge and confidentiality were less than 0.05 and therefore failed to reject the null hypothesis. Multivariate binary logistic regression model predicted that confidentiality and knowledge were associated with DCT at p-value 0.05..
Conclusion:Diagnostic Counselling and Testing utilization was low in the study population. Level of knowledge and confidentiality were the factors found to be associated with diagnostic testing and counselling. The findings suggest the need for information, education and communication as patients lack information on the importance of tuberculosis patients taking up the test.",Biomedical Sciences,1/28/2021
Accuracy and Completeness of Medication Histories in Patients in Medical Admission Ward at the University Teaching Hospital,Melody Mutinta; Lungwani Tyson Muungo; Pierre Yassa,"Background
Quality documentation of medication histories at the time of hospitaladmission with regard to accuracy and completeness is notdocumented at the University Teaching Hospital (UTH), in Zambia. The aim of our study was to assess the accuracy and completeness of medication historiesobtained in patients upon hospital admission.
Materials & Methods
We conducted a prospective cross-sectional study atmedical admission ward, University Teaching Hospital, over a period of 3months. Our study enrolled 322 patients admitted to this ward who were above 18 years of age and were able to communicate verbally, ifnot, were accompanied by a caregiver. Clinical records of these patients were screened to review allmedications the patient was taking and patients/caregivers were interviewed to obtain acomplete medication history. All informationobtained from patients through interviews was compared withmedications recorded in the patient’s clinical records at the time ofadmission to the hospital. The Statistical Package for Social Sciences(SPSS) version 22 was used for all statistical calculations. 
Results
Of 287 clinical records, 175 (61%) incidents of inaccurate medication historiesat the time of admission were identified and that medication histories in clinical records of patients were incomplete or poorly documented.
Conclusion
Our study shows that 61% of medication histories in patients at the time of admission to hospitals are inaccurate. Quality documentation of medication histories in clinical records at the time of hospital admission is poor.",Biomedical Sciences,1/28/2021
"Burden and Risk Factors of Chronic Kidney Disease in Children with Sickle Cell Anaemia Aged 5 – 16 Years at the University Teaching Hospital, Lusaka - Zambia",Nchimunya Machila; Chishala Chabala; Chisambo Mwaba; Catherine Chunda-Liyoka,"Improved medical care has led to the improved life expectancy of sickle cell anaemia (SCA) patients hence complications associated with SCA such as chronic kidney disease (CKD) are being seen more frequently. Globally, nephropathy of varying severity occurs in 5 to 18 % of the SCA population across all age groups with a third of the adults proceeding to develop CKD while over 30 % of paediatric SCA patients have CKD in Africa. The mortality rate in SCA patients CKD is high. This study sought to determine CKD’s prevalence and risk factors in SCA, which was not available in Zambia before this study. This information will guide targeting and timing of screening for CKD in SCA in children in our population. 
To determine the prevalence of haematuria, proteinuria, abnormal estimated glomerular filtration rate (eGFR), CKD, and risk factors of CKD among the steady-state SCA patients aged 5 to 16 years at the University Teaching Hospital (UTH), Lusaka. 
This was a prospective cross-sectional study of 197 children aged 5 to 16 years with SCA at the UTH - Lusaka conducted from August 2014 to July 2015. Demographic and clinical data were collected using a structured questionnaire. Urine and blood samples were used to determine the urine albumin creatinine ratio (ACR) and full blood count /blood biochemistry, respectively. CKD was defined and determined using the Kidney Disease Outcome Quality Initiative 2012 guidelines employing urine ACR, dipstick urinalysis and eGFR. In this study, spot urine ACR and dipstick urinalysis were done and repeated three months later if initial tests were abnormal.Data was analysed using SPSS version 21. Chi-square and t-test were used to compare proportions between groups. The relation between study variables and CKD were examined using logistic regression. 
The mean age of the participants was 9.6 years (SD ±3.6). Male to female ratio was 1:1. The median age at diagnosis of SCA was 22 months (IQR = 44). The prevalence of haematuria, proteinuria and CKD among the study participants was 14.2%, 36% and 36 % respectively. Low haemoglobin and elevated mean corpuscular volume (MCV) were associated with CKD-AOR 0.62, 95% CI; 0.46-0.84 and 1.04, 95% CI; 1.01 – 1.08, respectively. Recurrent admissions (due to VOCs, severe anaemia and febrile illness) were also risk factors associated with CKD- AOR 0.52, 95% CI; 0.27-0.98. CKD was not associated with age at enrolment, sex, age at diagnosis of SCA, recurrent Vaso-occlusive crisis (VOCs) or abnormal liver function tests. The prevalence of CKD among the SCA patients at UTH- Lusaka is high (36%) with lower haemoglobin, elevated MCV and recurrent admissions being risk factors for developing CKD. SCA patients should be screened for CKD routinely at least once a year. Interventions such as the early introduction of hydroxyurea, proactive blood transfusions, and ACE inhibitors can reduce CKD’s risk and its progression to end-stage renal disease.",Biomedical Sciences,9/30/2020
Performance of Spring Wheat (Triticum aestivumL.) Varieties under Water Regimes and Nitrogen Rates,Mushekwa Sakumona; Davies M Lungu; Kalaluka Munyinda,"The high cost of supplying water and nitrogen reduces the planted hectarage and restricts spring wheat production among wheat growers in Zambia. A field experiment was carried to determine twelve common spring wheat varieties’ performance when subjected to water regimes and nitrogen application rates at Nanga Irrigation Research Station in Mazabuka in 2011 winter season. The experiment was performed as a Split-split in a Randomised Complete Block Design with three replications. Water regimes (100%, 75% and 50% crop water requirements (CWR)) were considered as the main factor, nitrogen rates (80, 160 and 240 Kg N ha-1) as sub-factor and variety (Nduna, Shine, Sekuru, Sahai I, Loerie II, Pungwa, Choza, UNZA I, UNZA II, Mampolyo, Nseba and Coucal) as a sub-sub factor. Grain yield, spike length, above-ground biomass, plant height, thousand kernel weight, harvest index, spikelets per spike and number of grains per spike were measured.Mampolyo, Nduna and Pungwa significantly (p < 0.05) produced the same and highest grain yield of 6,473, 6,494 and 6,395 kg ha-1, respectively at 100% CWR and lowest nitrogen rate. At 50% CWR and optimum nitrogen rate, Loerie II (5,351kg ha-1) and Sahai I (6,086kg ha-1) significantly (p < 0.05) produced the same and highest yields. At 75% CWR and 160 kg N ha-1, Mampolyo (5,703kg ha-1) and Sekuru (5,325kg ha-1) significantly (p < 0.05) produced the same and the highest yields and 75% CWR and 80 kg N ha-1,Nseba (5,667kg ha-1), Shine (5,224kg ha-1) and Choza (5,559kg ha-1) significantly (p < 0.05) produced the same and highest grain yields. The optimum and low level of either water on nitrogen or vice versa and 80 kg N ha-1 with 75% CWR offers wide options for spring wheat variety choice for wheat production.It was concluded that farmers could select some varieties with high grain yields based on the input combination suiting their capacity and increase planted hectarage and wheat production.",Biomedical Sciences,9/30/2020
"Night-time Chronotherapy with Diuretics: Effect on Sleep Quality and Duration in Patients with Hypertension in Lusaka, Zambia",David Banda; Tyson L. Muungo; Nason Lambwe,"Poor sleep plays an important role in the prevalence of hypertension. It increases the prevalence rate to 60%. The night-time dosing of blood pressure-lowering drugs has yielded positive results. Scholars have rarely investigated the relationship between night-time dosing of diuretics and the quality of sleep. The study aimed at evaluating quality and duration of sleep while on night-time dosing of diuretics and determine the commonly used blood pressure-lowering medication at University Teaching Hospital. 
The study was a Prospective Cohort Study with 12 weeks follow-up. The sample consisted of 46 patients with hypertension, and on a diuretic, 25 of whom were taking their medication in the evening at 10 PM (study group), and 18 were in the 10 AM dosing schedule as a control. 
Overall, 43 were included in the analysis. Baseline and follow-up at 2, 8 and 12 Sleep quality and duration, and blood pressure level were available for 43 (93.5%) individuals. The study recruited more women (76.1%), and the majority were on hydrochlorothiazide and amiloride combination (65.2%). The 10 PM dosing showed better in quality of sleep and duration, and blood pressure-lowering as the follow-up continued with a p-value of less than 0.05 for Pittsburgh Sleep Quality Index (PSQI) and Epworth Sleepiness Scale (ESS), and for the blood pressure-lowering at 12 weeks. 
The study showed beneficial effects of 10 PM dosing of diuretics in hypertensive patients, and the diuretic effect does not affect the quality and duration of sleep. Further, 10 PM dosing lowers the blood pressure significantly compared with 10 AM.",Biomedical Sciences,9/30/2020
Prevalence and Risk Factors of East Coast Fever in the Copperbelt and Central Provinces of Zambia,David Chipuku Chabala; Martin Simuunza; Bonface Namangala,"East Coast fever (ECF) is an infectious tick-borne disease of cattle, caused by a protozoan parasite Theileriaparva. Itis a disease of major economic importance in Zambia, being the main cause of cattle morbidity and mortality. Despite its economic importance, the epidemiology of ECF in Zambia is poorly understood, thereby making ECF prevention and control difficult. Further, there is limited published literature on this disease in Zambia, with the little available research concentrating on Southern and Eastern provinces. 
We conducted a cross-sectional study to determine the prevalence and associated risk factors of ECF in Copperbelt and Central provinces of Zambia. The provinces and districts were selected based on their vast potential for livestock production and the previously reported incidence of ECF. From each district, two veterinary camps were randomly selected and from each camp herds were randomly selected, from which individual animals were randomly sampled. Lymph node biopsies were collected from Mpongwe and Masaiti districts (Copperbelt province) and Kapiri Mposhi and Chibombo districts (Central province). Lymph smears were prepared and stained with Giemsa for microscopic examination. 
Microscopic examination of lymph smears revealed that 6.4% (95%, CI=4.9-7.9) of the samples were positive for T. parva schizonts. The Copperbelt province prevalence was 6.1% (95%, CI=4.0-8.2) while in Central province it was 6.7% (95%, CI=4.5-8.9). Among the districts in these provinces, Kapiri Mposhi did not record any schizont positive cattle, while Chibombo had the highest prevalence at 13.6% (95%, CI=9.4-17.9). Risk factors that were identified to be associated with Theileria schizonts in cattle were locality (district), previous experience of ECF, tick burden, and age. 
These results indicate that ECF is prevalent in Copperbelt and Central provinces of Zambia. Concerted efforts are needed to control ticks and prevent ECF through farmer sensitization, routine, regular, mandatory and supervised dipping or spraying of cattle and stringent livestock movement control to help bring down ECF prevalence.",Veterinary Medicine,1/26/2021
